lot,title,artist,medium,signage,size,sale_date,auction_house,auction_name
"1","Untitled- Floral Painting","Nick Economo","Acrylic on board","signed lower right","58 x 122 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"2","Turquoise Crackle, 2017","Leon Holmes","Oil on board","signed lower left  artwork label on verso","60 x 30 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"3","Untitled- Portrait of a Woman,' 1990","Ian De Souza","Watercolour and chalk pastel on paper","signed and dated lower edge","72 x 52 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"4","Still Life with Persimmons and Palmfruit, Cable Beach W.A, 1995","Janet Green","Oil on board","signed and dated lower left","29 x 29 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"5","Untitled- Still Life with Pears, 1998","Diana Watson","Oil on board","signed and dated lower right","61 x 61 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"6","Couple on Cable Beach","Greg Baker","Oil and acrylic on board","signed lower left","14 x 60 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"7","Untitled- Floral Painting (Poppies)","Nick Economo","Acrylic on canvas","signed lower right","90 x 122 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"8","Still Life with Carrots, 1992","Janet Green","Oil on board","titled on verso","17 x 17 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"10","Untitled- Floral Painting (Tulips)","Nick Economo","Acrylic on canvas","signed lower right","122 x 34 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
"11","Tough Century","Robert (Rob) Forlani","Acrylic on canvas","signed and titled on verso","61 x 183 cm","11-Mar-25","McKenzies Auctioneers","Night 1 - Art, Furniture, Collectables, Rugs and Luxury Goods (Art lots only(, McKenzies Auctioneers, Perth"
